prod-descr;prod-marca;prod-comentario;prod-aval
 Ekilibre Amazônia  FPUVA 28 FPS 30 - Protetor Solar 90g ; Ekilibre Amazônia ;melhor protetor! Dura (uns 3 meses), fica oleoso, viço, basta espalhar bem, pele fica hidratada linda. pele oleosa, então, manhã lavo rosto sabonete cravo canela mesma marca, passo protetor, durante dia antes reaplicar, tiro excesso suor guardanapo papel algo tipo reaplico protetor. Maravilhoso natural ? ameiiiii!;4.2
 Eucerin  Sun Hydro Fluid FPS 60 - Protetor Solar Facial 50ml ; Eucerin ;bom! textura leve!;5.0
 Eucerin  Sun Hydro Fluid FPS 60 - Protetor Solar Facial 50ml ; Eucerin ;Achei textura gostosa, nao deixa rosto oleoso;5.0
 Eucerin  Sun Hydro Fluid FPS 60 - Protetor Solar Facial 50ml ; Eucerin ;Gostei textura, arde olhos, fica bem sequinho cheirinho maravilhoso;5.0
 Eucerin  Sun Hydro Fluid FPS 60 - Protetor Solar Facial 50ml ; Eucerin ;Chegou super rapido, amei demias ??;5.0
 Eucerin  Sun Hydro Fluid FPS 60 - Protetor Solar Facial 50ml ; Eucerin ;Excelente produto!;5.0
 Eucerin  Sun Hydro Fluid FPS 60 - Protetor Solar Facial 50ml ; Eucerin ;Otimo protetor. Fica super sequinho. Vale pena.;5.0
 Eucerin  Sun Oil Control Creme-Gel FPS 60 - Protetor Solar Facial 50g ; Eucerin ;Produto sequinho, toque aveludado, amei;4.6
 Eucerin  Sun Oil Control Creme-Gel FPS 60 - Protetor Solar Facial 50g ; Eucerin ;protetor, fragrância, textura pouco úmida outros protetores toque seco usei garante ótimas espalhabilidade absorção pele. coisa legal nele empapuça barba, simplesmente desaparece! efeito fosco pele, porém, forma emocionada pessoas relatam aqui, vi: questão 30 minutos aplicação, rosto fica aspecto hidratado, matificado. Apesar disso, rosto nunca fica aspecto pesado, oleoso, tendo pele mista. Agora, embalagem, mim, ponto fraco, porque sistema válvula favorece desperdício: preciso retocar protetor, depender lugar pressa, aperto dosar sai quantidade bem grande produto. Além disso, embalagem, cilíndrica rígida, péssima levar bolso calça, confortável discreta.;4.6
 Eucerin  Sun Oil Control Creme-Gel FPS 60 - Protetor Solar Facial 50g ; Eucerin ;Melhor protetor solar facial. Leve deixa pele sequinha.;4.6
 Eucerin  Sun Oil Control Creme-Gel FPS 60 - Protetor Solar Facial 50g ; Eucerin ;maravilhoso, deixa pele bem sequinha efeito esbranquiçado;4.6
 Eucerin  Sun Oil Control Creme-Gel FPS 60 - Protetor Solar Facial 50g ; Eucerin ;Pele fica sequinha protetor fica aspecto branco pele.;4.6
 Eucerin  Sun Oil Control FPS 30 - Protetor Solar Facial 52g ; Eucerin ;Produto leve rosto, esperando cheiro pouco suave. Cheiro normal protetor solar;4.9
 Eucerin  Sun Oil Control FPS 30 - Protetor Solar Facial 52g ; Eucerin ;protetor esse????? Super sequinho. PERFEITO pele oleosa melhor tudo passei dia lembrava protetor. Normalmente protetores algumas horas ardem olhos, ardeu nadinha;4.9
 Eucerin  Sun Oil Control FPS 30 - Protetor Solar Facial 52g ; Eucerin ;;4.9
 Eucerin  Sun Oil Control FPS 30 - Protetor Solar Facial 52g ; Eucerin ;Gostei experiência protetor. pele muuito oleosa, fez milagre questão deixar pele matte segurar tanto oleosidade, melhor outros testei mesma proposta, dias frios fica bom. Fiquei impressionada textura dele, realmente creme leve some pele.;4.9
 Eucerin  Sun Oil Control FPS 30 - Protetor Solar Facial 52g ; Eucerin ;Simplesmente maravilhoso! Deixou pele bonita sequinha durou horrores! tempo notei pele bem uniforme manchinhas. Mega aprovado!;4.9
 Eucerin  Sun Oil Control FPS 30 - Protetor Solar Facial 52g ; Eucerin ;Melhor protetor pele mista oleosa! Mantém pele sequinha dia todo esfarela, arde olhos, super fácil espalhar resistente suor. namorado pele oleosa dermatite único protetor irritou pele dele.;4.9
 Eucerin  Sun Oil Control Tinted FPS70 Claro - Protetor Solar Facial com Cor 50g ; Eucerin ;Ótimo! Super recomendo;4.4
 Eucerin  Sun Oil Control Tinted FPS70 Claro - Protetor Solar Facial com Cor 50g ; Eucerin ;Produto incrível, excelente cobertura deixar pele pesada! Amei!!!;4.4
 Eucerin  Sun Oil Control Tinted FPS70 Claro - Protetor Solar Facial com Cor 50g ; Eucerin ;espalho protetor rosto pigmentação adere pele. Preciso espalhar ficar uniforme marcas, então começa esfarelar. sei acontece todo mundo problema específico lote. definitivamente recomendaria.;4.4
 Eucerin  Sun Oil Control Tinted FPS70 Claro - Protetor Solar Facial com Cor 50g ; Eucerin ;textura è sequinha, fiquei completamente alaranjada.;4.4
 Eucerin  Sun Oil Control Tinted FPS70 Claro - Protetor Solar Facial com Cor 50g ; Eucerin ;pele fica linda forma natural. Deixa pele seca, cheiro agradável arde olhos.;4.4
 Eucerin  Sun Oil Control Tinted FPS70 Médio - Protetor Solar Facial com Cor 50g ; Eucerin ;textura è sequinha, fiquei completamente alaranjada.;4.4
 Eucerin  Sun Oil Control Tinted FPS70 Médio - Protetor Solar Facial com Cor 50g ; Eucerin ;Ótimo! Super recomendo;4.4
 Eucerin  Sun Oil Control Tinted FPS70 Médio - Protetor Solar Facial com Cor 50g ; Eucerin ;pele fica linda forma natural. Deixa pele seca, cheiro agradável arde olhos.;4.4
 Eucerin  Sun Oil Control Tinted FPS70 Médio - Protetor Solar Facial com Cor 50g ; Eucerin ;Produto incrível, excelente cobertura deixar pele pesada! Amei!!!;4.4
 Eucerin  Sun Oil Control Tinted FPS70 Médio - Protetor Solar Facial com Cor 50g ; Eucerin ;espalho protetor rosto pigmentação adere pele. Preciso espalhar ficar uniforme marcas, então começa esfarelar. sei acontece todo mundo problema específico lote. definitivamente recomendaria.;4.4
 Eucerin  Sun Pigment Control FPS 60 - Protetor Solar Facial 50ml ; Eucerin ;Protetor solar bom,não pesa pele. Adorei aplicador;4.9
 Eucerin  Sun Pigment Control FPS 60 - Protetor Solar Facial 50ml ; Eucerin ;Gosto bastante, segunda vez uso. Bem sequinho.;4.9
 Eucerin  Sun Pigment Control FPS 60 - Protetor Solar Facial 50ml ; Eucerin ;melhores usei.;4.9
 Eucerin  Sun Pigment Control FPS 60 - Protetor Solar Facial 50ml ; Eucerin ;protetor solar perfeito usei vida. Chegou rápido. Tudo perfeito!;4.9
 Eucerin  Sun Pigment Control FPS 60 - Protetor Solar Facial 50ml ; Eucerin ;Indicação dermato clarear melasma tbm todos feedbacks acredito maravilhoso .;4.9
 Eucerin  Sun Pigment Control Tinted FPS70 Claro - Protetor Solar Facial com Cor 50ml ; Eucerin ;Gosto desse protetor solar.;4.7
 Eucerin  Sun Pigment Control Tinted FPS70 Claro - Protetor Solar Facial com Cor 50ml ; Eucerin ;Amei produto Fácil aplicar;4.7
 Eucerin  Sun Pigment Control Tinted FPS70 Claro - Protetor Solar Facial com Cor 50ml ; Eucerin ;Excelente protetor, cobertura uniforme, bem absorvido pele mista. Precinho ótimo Black. Vantagem dá pra usar finalzinho produto devido tipo embalagem. faltou vir amostrinha bacana brinde. Recomendo!;4.7
 Eucerin  Sun Pigment Control Tinted FPS70 Claro - Protetor Solar Facial com Cor 50ml ; Eucerin ;Produto incrível.;4.7
 Eucerin  Sun Pigment Control Tinted FPS70 Claro - Protetor Solar Facial com Cor 50ml ; Eucerin ;protetor solar perfeito usei vida. Chegou rápido. Tudo perfeito!;4.7
 Eucerin  Sun Pigment Control Tinted FPS70 Médio  - Protetor Solar Facial 50ml ; Eucerin ;;
 Eucerin  Sun Redutor de Linhas FPS 50 - Protetor Solar Facial 50g ; Eucerin ;bom;5.0
 Eucerin  Sun Redutor de Linhas FPS 50 - Protetor Solar Facial 50g ; Eucerin ;Produto maravilhoso!;5.0
 Eucerin  Sun Redutor de Linhas FPS 50 - Protetor Solar Facial 50g ; Eucerin ;Ótimo pele seca gosta acabado glowy. arde olhos.;5.0
 Eucerin  Sun Redutor de Linhas FPS 50 - Protetor Solar Facial 50g ; Eucerin ;Excelente produto. Qualidade indiscutível.Loja nota 10.;5.0
 Eucerin  Sun Redutor de Linhas FPS 50 - Protetor Solar Facial 50g ; Eucerin ;amando, hidrata pele, pele negra deixa esbranquiçada, amei vale super pena;5.0
 Eudora  CC Cream Bege Intenso FPS 50 - Protetor Solar 40g ; Eudora ;Excelente produto;5.0
 Eudora  CC Cream Bege Intenso FPS 50 - Protetor Solar 40g ; Eudora ;Maraavilhoso, leve cobertura base, deixar pele melecada brilhosa. fico jeito nenhum!;5.0
 Eudora  Niina Secrets Niina Skin 12 em 1 FPS 50 - Sérum Facial Multiprotetor 30ml ; Eudora ;Gostei bastante produto cumpre promete ! Amando ??;5.0
 FQM  Protetor Solar Heliomax FPS 50 Fluido Sem Cor 50g ; FQM ;;0.0
 FQM  Protetor Solar Heliomax FPS 70 Gel Creme Claro 50g ; FQM ;Ganhei amostra grátis testei. Super aprovado. pele muito, oleosa. deixou pele bem sequinha. pele morena, ficou esbranquiçada. opção cor sequinha,cobre bem imperfeições. melasma,cobriu manchas deixou aspecto lindo. Aprovadíssimo.;5.0
 FQM  Protetor Solar Heliomax FPS 70 Médio Escuro 50g ; FQM ;;0.0
 Garnier  SkinActive Uniform & Matte Vitamina C FPS50 Clara - Protetor Hidratante Facial 40g ; Garnier ;Aplicação perfeita, pele oleosa fica bem sequinha aplicação.;4.9
 Garnier  SkinActive Uniform & Matte Vitamina C FPS50 Clara - Protetor Hidratante Facial 40g ; Garnier ;Otima cobertura;4.9
 Garnier  SkinActive Uniform & Matte Vitamina C FPS50 Clara - Protetor Hidratante Facial 40g ; Garnier ;cor clara fica escura (fica laranja), antioleosidade, cobre mal, transfere fragrância forte, enjoativa.;4.9
 Garnier  SkinActive Uniform & Matte Vitamina C FPS50 Clara - Protetor Hidratante Facial 40g ; Garnier ;segunda vez compro produto. primeira vez comprei médio amei textura, errei cor. Dessa vez comprei claro, pois costumo usar base número 2, produto acabou produto super escuro tom pele, inclusive, super parecida cor média.;4.9
 Garnier  SkinActive Uniform & Matte Vitamina C FPS50 Clara - Protetor Hidratante Facial 40g ; Garnier ;Cor: Comprei tom claro pois vi algumas resenhas falavam sobre protetor cor oxidar, deu super certo tom pele. Textura: bem grosso, pouquinho difícil espalhar. Efeito: acredito mista, pouco oleosas, pele bem oleosa, seguida apliquei ficou linda, suave, porém algumas horas acabou parecendo passado dia fritando pastel, testei dias quentes dias úmidos. pensei talvez melhor usar pó, assim jeito pele ficar brilho, rolou tambem, jeito vai usar ficar toalhinha bolsa;4.9
 Garnier  SkinActive Uniform & Matte Vitamina C FPS50 Média - Protetor Hidratante Facial 40g ; Garnier ;Aplicação perfeita, pele oleosa fica bem sequinha aplicação.;4.9
 Garnier  SkinActive Uniform & Matte Vitamina C FPS50 Média - Protetor Hidratante Facial 40g ; Garnier ;Cor: Comprei tom claro pois vi algumas resenhas falavam sobre protetor cor oxidar, deu super certo tom pele. Textura: bem grosso, pouquinho difícil espalhar. Efeito: acredito mista, pouco oleosas, pele bem oleosa, seguida apliquei ficou linda, suave, porém algumas horas acabou parecendo passado dia fritando pastel, testei dias quentes dias úmidos. pensei talvez melhor usar pó, assim jeito pele ficar brilho, rolou tambem, jeito vai usar ficar toalhinha bolsa;4.9
 Garnier  SkinActive Uniform & Matte Vitamina C FPS50 Média - Protetor Hidratante Facial 40g ; Garnier ;segunda vez compro produto. primeira vez comprei médio amei textura, errei cor. Dessa vez comprei claro, pois costumo usar base número 2, produto acabou produto super escuro tom pele, inclusive, super parecida cor média.;4.9
 Garnier  SkinActive Uniform & Matte Vitamina C FPS50 Média - Protetor Hidratante Facial 40g ; Garnier ;cor clara fica escura (fica laranja), antioleosidade, cobre mal, transfere fragrância forte, enjoativa.;4.9
 Garnier  SkinActive Uniform & Matte Vitamina C FPS50 Média - Protetor Hidratante Facial 40g ; Garnier ;Otima cobertura;4.9
 ISDIN  Eryfotona AK-NMSC Fluid FPS 99 - Protetor Solar Facial 50ml ; ISDIN ;Proteção especial peles problemas dermatológicos. Recomendo!;4.6
 ISDIN  Eryfotona AK-NMSC Fluid FPS 99 - Protetor Solar Facial 50ml ; ISDIN ;Pontos positivos: produto bem fluido, bem aguado, bom porque espalha fácil seca rápido. Ainda recente, pareceu proteger bem contra sol. Sensação boa pele, hidratada. Ponto negativo: Possui perfume, fragrância similar protetores Nivea. forte, porém tratar produto inclui peles sensíveis, nada agradável sentir cheiro. Caso pele sensível (meu caso) alguma alergia perfumes, poderá usar acredito vá adorar.;4.6
 ISDIN  Eryfotona AK-NMSC Fluid FPS 99 - Protetor Solar Facial 50ml ; ISDIN ;Amei! deixou pele oleosa brilhante. percebi boa melhora lesões tratamento queratose actinica. Gostei tanto aproveitei promo pedi 2!;4.6
 ISDIN  Eryfotona AK-NMSC Fluid FPS 99 - Protetor Solar Facial 50ml ; ISDIN ;tratamento dermatológico devido uso ácido retinóico, pele sensível descamação. Então protetor recomendado própria médica, pois além alta proteção, produto possui propriedades calmantes regeneradoras. matéria-prima excelente qualidade justifica preço. pele mista, zona T oleosa. Posso dizer produto deixou pele hidratada sequinha tempo. deixa rosto branco. 41 anos. Vale investimento.;4.6
 ISDIN  Eryfotona AK-NMSC Fluid FPS 99 - Protetor Solar Facial 50ml ; ISDIN ;Sei melhores protetores solares, especialmente componente genético forte carcinomas, pele oleosa, assentou bem. Fico rosto esbranquiçado oleoso uso. sonho ter versão antioleosidade.;4.6
 ISDIN  Foto Ultra Active Unify FPS 99 - Protetor Solar Facial 50ml ; ISDIN ;Comprei toque seco porém pele ficou oleosa, percebi melhoras tonalidade pele.;4.2
 ISDIN  Foto Ultra Active Unify FPS 99 - Protetor Solar Facial 50ml ; ISDIN ;gostei desse produto,uso faz 3meses clareia nada melasma,e ainda cima rosto fica parecendo fantasma, joguei dinheiro lixo , agora fazer usar casa.;4.2
 ISDIN  Foto Ultra Active Unify FPS 99 - Protetor Solar Facial 50ml ; ISDIN ;Maravilhoso, usando 1 semana amando.;4.2
 ISDIN  Foto Ultra Active Unify FPS 99 - Protetor Solar Facial 50ml ; ISDIN ;Ótimo filtro solar;4.2
 ISDIN  Foto Ultra Active Unify FPS 99 - Protetor Solar Facial 50ml ; ISDIN ;Excelente! usando quase 20 dias notei leve clareamento. contar bem hidratante.;4.2
 ISDIN  Foto Ultra Active Unify FPS 99 - Protetor Solar Facial 50ml ; ISDIN ;Comprei produto esposo, melasma. tentado tudo, micro-agulhamento, vitamina E, outros protetores nada resolvia.Faz uns 6 meses usando acreditem quiser, pele porcelana.;4.2
 ISDIN  Foto Ultra Age Repair 5 Stars FPS50 - Protetor Solar Facial 50ml ; ISDIN ;gosto produtos fluidos, achei hidrantante pouco difícil espalhar. Obviamente inverno produto estação.;4.4
 ISDIN  Foto Ultra Age Repair 5 Stars FPS50 - Protetor Solar Facial 50ml ; ISDIN ;bom;4.4
 ISDIN  Foto Ultra Age Repair 5 Stars FPS50 - Protetor Solar Facial 50ml ; ISDIN ;Protetor maravilhoso!!!!Protege bem pele absorve rápido. ruim preço salgado.;4.4
 ISDIN  Foto Ultra Age Repair 5 Stars FPS50 - Protetor Solar Facial 50ml ; ISDIN ;protetor fator anti-idade pesa pele, some passado hidratante bem leve. pele madura oleosa.;4.4
 ISDIN  Foto Ultra Age Repair 5 Stars FPS50 - Protetor Solar Facial 50ml ; ISDIN ;usei produto, simplismente sensacional. pele clara sencivel tendência vermelhidão. simplismente deixou pele maravilhosa.Não usei mais, porque encontrava farmácias saites.Que bom volta. ?;4.4
 ISDIN  Foto Ultra Spot Prevent FPS 99 - Protetor Solar Facial 50ml ; ISDIN ;pele oleosa acneica comprem. Deixa pele oleosa, enchi espinhas.;4.8
 ISDIN  Foto Ultra Spot Prevent FPS 99 - Protetor Solar Facial 50ml ; ISDIN ;Fino fica pegajoso ardeu pele.;4.8
 ISDIN  Foto Ultra Spot Prevent FPS 99 - Protetor Solar Facial 50ml ; ISDIN ;Achei bom, algumas sardas sol clarearam uso diário protetor. pouco caro compensa. Dura 6 meses frasco pra mim.;4.8
 ISDIN  Foto Ultra Spot Prevent FPS 99 - Protetor Solar Facial 50ml ; ISDIN ;Perfeito pele seca, pele oleosa recomendo Pois bem oleoso;4.8
 ISDIN  Foto Ultra Spot Prevent FPS 99 - Protetor Solar Facial 50ml ; ISDIN ;melhor filtro solar usei vida. melasma, testei Z ISDIN Foto Ultra Spot melhor. esfarela, posso usar maquiagem, posso passar outros produtos juntos fica grudento, colento esbranquiçado. Confesso mim arde pouquinhos olhos, evito passar perto linha d'água. Sobre clarear pele, senti grande efeito, ameniza sim. gostei hidrata pele deixa oleosa. pele oleosa naturalmente achei produto bem ok.;4.8
 ISDIN  Fotoprotector Fusion Water 5 Stars FPS 60 - Protetor Solar Facial 50ml ; ISDIN ;Protetor solar bem fluído, deixa aspecto molecado pele cheiro forte.;4.9
 ISDIN  Fotoprotector Fusion Water 5 Stars FPS 60 - Protetor Solar Facial 50ml ; ISDIN ;pele melhor protetor encontrei, pele oleosa uso maquiagem passo protetor, fica sequinha bonita.;4.9
 ISDIN  Fotoprotector Fusion Water 5 Stars FPS 60 - Protetor Solar Facial 50ml ; ISDIN ;melhor protetor solar facial! fluído estado aquoso, vai manter pele sequinha protegida! Compre medo independente tipo pele, escolha certeira! Vale cada centavo!;4.9
 ISDIN  Fotoprotector Fusion Water 5 Stars FPS 60 - Protetor Solar Facial 50ml ; ISDIN ;Amo protetor, único realmente deixa pele sequinha!;4.9
 ISDIN  Fotoprotector Fusion Water 5 Stars FPS 60 - Protetor Solar Facial 50ml ; ISDIN ;Protetor solar bom. pele miata sensivel fica bem sequinho pele.;4.9
 ISDIN  Fotoprotector Fusion Water 5 Stars FPS 60 - Protetor Solar Facial 50ml ; ISDIN ;Protetor perfeito, ótimo pele oleosa, toque seco .;4.9
 ISDIN  Fotoprotector Fusion Water FPS 60 - Protetor Solar Facial 30ml ; ISDIN ;ótimo;5.0
 ISDIN  Fusion Water 5 Stars FPS50 Color Clara - Protetor Solar Facial com Cor 50ml ; ISDIN ;Excelente! melhor protetor solar usei vida.;4.9
 ISDIN  Fusion Water 5 Stars FPS50 Color Clara - Protetor Solar Facial com Cor 50ml ; ISDIN ;Uso protetor alguns anos indicação dermatológica abro mão, adoro praticidade passar selar pó aplicar blush maquiada. textura pouco líquida alguns minutinhos pele fica sequinho. maravilhoso?;4.9
 ISDIN  Fusion Water 5 Stars FPS50 Color Clara - Protetor Solar Facial com Cor 50ml ; ISDIN ;"Adoro protetor solar! cobertura ""média"" perfeita dia dia. uso protetor, passo base pois gosto desse resultado ""natural"". Uso TB noite. espalha bem fica gorduroso (tenho normal). Espalho dedos primeiramente dou leves batidinhas esponja umedecida. produto fico sem!";4.9
 ISDIN  Fusion Water 5 Stars FPS50 Color Clara - Protetor Solar Facial com Cor 50ml ; ISDIN ;Protetor solar excelente, gosto dele, porém busca protetor sequinho, nao tao seco, gosto peles glows, entao investimento vale;4.9
 ISDIN  Fusion Water 5 Stars FPS50 Color Clara - Protetor Solar Facial com Cor 50ml ; ISDIN ;Pior protetor ja usei. pele mista fica super grudento, precisa selar pó pra usar. cobertura baixíssima, quase pior parte: arde olhos. Pretendia usar somente ficar casa, preciso sair ele, acabou, qualquer gota suor chuva escorre fica todo branco, alem arder olhos. recomendo.;4.9
 ISDIN  Fusion Water 5 Stars FPS50 Color Clara - Protetor Solar Facial com Cor 50ml ; ISDIN ;bom produto, pele fica sequinha.;4.9
 ISDIN  Fusion Water 5 Stars FPS50 Color Escura  - Protetor Solar Facial com Cor 50ml ; ISDIN ;Excelente! melhor protetor solar usei vida.;4.9
 ISDIN  Fusion Water 5 Stars FPS50 Color Escura  - Protetor Solar Facial com Cor 50ml ; ISDIN ;Pior protetor ja usei. pele mista fica super grudento, precisa selar pó pra usar. cobertura baixíssima, quase pior parte: arde olhos. Pretendia usar somente ficar casa, preciso sair ele, acabou, qualquer gota suor chuva escorre fica todo branco, alem arder olhos. recomendo.;4.9
 ISDIN  Fusion Water 5 Stars FPS50 Color Escura  - Protetor Solar Facial com Cor 50ml ; ISDIN ;"Adoro protetor solar! cobertura ""média"" perfeita dia dia. uso protetor, passo base pois gosto desse resultado ""natural"". Uso TB noite. espalha bem fica gorduroso (tenho normal). Espalho dedos primeiramente dou leves batidinhas esponja umedecida. produto fico sem!";4.9
 ISDIN  Fusion Water 5 Stars FPS50 Color Escura  - Protetor Solar Facial com Cor 50ml ; ISDIN ;bom produto, pele fica sequinha.;4.9
 ISDIN  Fusion Water 5 Stars FPS50 Color Escura  - Protetor Solar Facial com Cor 50ml ; ISDIN ;Uso protetor alguns anos indicação dermatológica abro mão, adoro praticidade passar selar pó aplicar blush maquiada. textura pouco líquida alguns minutinhos pele fica sequinho. maravilhoso?;4.9
 ISDIN  Fusion Water 5 Stars FPS50 Color Escura  - Protetor Solar Facial com Cor 50ml ; ISDIN ;Protetor solar excelente, gosto dele, porém busca protetor sequinho, nao tao seco, gosto peles glows, entao investimento vale;4.9
 ISDIN  Fusion Water 5 Stars FPS50 Color Média - Protetor Solar Facial com Cor 50ml ; ISDIN ;Pior protetor ja usei. pele mista fica super grudento, precisa selar pó pra usar. cobertura baixíssima, quase pior parte: arde olhos. Pretendia usar somente ficar casa, preciso sair ele, acabou, qualquer gota suor chuva escorre fica todo branco, alem arder olhos. recomendo.;4.9
 ISDIN  Fusion Water 5 Stars FPS50 Color Média - Protetor Solar Facial com Cor 50ml ; ISDIN ;Uso protetor alguns anos indicação dermatológica abro mão, adoro praticidade passar selar pó aplicar blush maquiada. textura pouco líquida alguns minutinhos pele fica sequinho. maravilhoso?;4.9
 ISDIN  Fusion Water 5 Stars FPS50 Color Média - Protetor Solar Facial com Cor 50ml ; ISDIN ;bom produto, pele fica sequinha.;4.9
 ISDIN  Fusion Water 5 Stars FPS50 Color Média - Protetor Solar Facial com Cor 50ml ; ISDIN ;Protetor solar excelente, gosto dele, porém busca protetor sequinho, nao tao seco, gosto peles glows, entao investimento vale;4.9
 ISDIN  Fusion Water 5 Stars FPS50 Color Média - Protetor Solar Facial com Cor 50ml ; ISDIN ;Excelente! melhor protetor solar usei vida.;4.9
 ISDIN  Fusion Water 5 Stars FPS50 Color Média - Protetor Solar Facial com Cor 50ml ; ISDIN ;"Adoro protetor solar! cobertura ""média"" perfeita dia dia. uso protetor, passo base pois gosto desse resultado ""natural"". Uso TB noite. espalha bem fica gorduroso (tenho normal). Espalho dedos primeiramente dou leves batidinhas esponja umedecida. produto fico sem!";4.9
 ISDIN  Kit Isdin Protetor Solar Fusion Water 50ml + Sabonete de Limpeza 80ml ; ISDIN ;;0.0
 ISDIN  UV Brush Mineral FPS50 - Protetor Solar Facial em Pó 2g ; ISDIN ;embalagem horrível! Pensei espécie botão soltar pó pincel. nada! pó saiu 1o dia. consegui tirar pó dali dentro. produto barato pra ter problema tão sério embalagem. ISDIN rever rapidamente. pessoa reclamando. Praticamente todo mundo reclamando!;2.6
 ISDIN  UV Brush Mineral FPS50 - Protetor Solar Facial em Pó 2g ; ISDIN ;Esperava desse produto , fácil aplicação , produto sai dificuldade pincel aplicador . compraria novo .;2.6
 ISDIN  UV Brush Mineral FPS50 - Protetor Solar Facial em Pó 2g ; ISDIN ;Gente comprem, joguei dinheiro fora. vale pra nada. fixa, embalagem ruim … horrível;2.6
 ISDIN  UV Brush Mineral FPS50 - Protetor Solar Facial em Pó 2g ; ISDIN ;"Protetor excelente! Protetor físico deixa cara esbranquiçada oleosa! fixação impressionante e, apesar cor pó tem, homogeneíza tom pele. Além disso, reaplicações longo dia formam ""máscara"" outros protetores pó formam nunca causam efeito oompa-loompa. ISDIN apenas podia melhorar embalagem, ruim: tampa escapa, protetor pincel segura desce durante aplicação e, final, fica produto custa sair. pessoas reclamam sobre desperdício dizem produto rende. Mentira. problema sabem usar, porque produto rende algo 40 dias, usando miséria, todos dias 2 retoques: quantidade pó vem embalagem, eternidade. único problema preço, matar.";2.6
 ISDIN  UV Brush Mineral FPS50 - Protetor Solar Facial em Pó 2g ; ISDIN ;Gostei produto, pois utilizo reaplicar protetor durante dia. Deixo bolsa reaplico cada 2 hs. Além proteger pele retira aspecto oleoso dela. vivo sem.;2.6
 Imecap  Actsun FPS60 - Protetor Solar Facial 50g ; Imecap ;;0.0
 Imecap  Protetor Solar Actsun FPS60 Pele Média com 50g ; Imecap ;;0.0
 L'Oréal Paris  Solar Expertise Antirrugas FPS30 - Protetor Solar Facial 40g ; L'Oréal Paris ;;
 L'Oréal Paris  Solar Expertise Antirrugas FPS30 - Protetor Solar Facial 40g ; L'Oréal Paris ;Maravilhoso;4.2
 L'Oréal Paris  Solar Expertise Antirrugas FPS30 - Protetor Solar Facial 40g ; L'Oréal Paris ;bom...;4.2
 L'Oréal Paris  Solar Expertise Antirrugas FPS30 - Protetor Solar Facial 40g ; L'Oréal Paris ;Achei produto pesado, deixando pele meio oleosa. Preciso passar camada pó generosa pra ficar brilhando. Vou usar fim compraria novamente.;4.2
 L'Oréal Paris  Solar Expertise Antirrugas FPS30 - Protetor Solar Facial 40g ; L'Oréal Paris ;Deixou pele levemente oleosa, esbranquiçada, hidrata.;4.2
 L'Oréal Paris  Solar Expertise Antirrugas FPS30 - Protetor Solar Facial 40g ; L'Oréal Paris ;Protetor sol gostei;4.2
 L'Oréal Paris  UV Defender Antioleosidade FPS 60 - Protetor Solar Facial 40g ; L'Oréal Paris ;Deixa pele sequinha! Ótima absorção!;4.9
 L'Oréal Paris  UV Defender Antioleosidade FPS 60 - Protetor Solar Facial 40g ; L'Oréal Paris ;ótima;4.9
 L'Oréal Paris  UV Defender Antioleosidade FPS 60 - Protetor Solar Facial 40g ; L'Oréal Paris ;Maravilhoso! fluido seco.;4.9
 L'Oréal Paris  UV Defender Antioleosidade FPS 60 - Protetor Solar Facial 40g ; L'Oréal Paris ;Ótimo protetor solar. Deixa pele excelente pele oleosa protetor perfeito;4.9
 L'Oréal Paris  UV Defender Antioleosidade FPS 60 - Protetor Solar Facial 40g ; L'Oréal Paris ;bom,e cheiro maravilhoso.;4.9
 La Roche-Posay  Anthelios AE- Pigmentation FPS 50 Clara - Protetor Solar com Cor 40g ; La Roche-Posay ;Amo protetor, uso muitos anos, fico sem.?;4.7
 La Roche-Posay  Anthelios AE- Pigmentation FPS 50 Clara - Protetor Solar com Cor 40g ; La Roche-Posay ;base diária sensacional.;4.7
 La Roche-Posay  Anthelios AE- Pigmentation FPS 50 Clara - Protetor Solar com Cor 40g ; La Roche-Posay ;Espalha fácil fica tom mate;4.7
 La Roche-Posay  Anthelios AE- Pigmentation FPS 50 Clara - Protetor Solar com Cor 40g ; La Roche-Posay ;Péssima cobertura. Aguado. Nunca compro.;4.7
 La Roche-Posay  Anthelios AE- Pigmentation FPS 50 Clara - Protetor Solar com Cor 40g ; La Roche-Posay ;Produto maravilhoso, além proteger deixa pele uniforme aspecto saudável.;4.7
 La Roche-Posay  Anthelios AE- Pigmentation FPS50 - Protetor Solar Facial 40g ; La Roche-Posay ;usei outros produtos mesma marca, boa experiência. seca pele passa, selando pó durante dia pele fica oleosa;4.4
 La Roche-Posay  Anthelios AE- Pigmentation FPS50 - Protetor Solar Facial 40g ; La Roche-Posay ;Protetor maravilhoso deixa pele macia hidratada;4.4
 La Roche-Posay  Anthelios AE- Pigmentation FPS50 - Protetor Solar Facial 40g ; La Roche-Posay ;Faço uso protetores faciais marca muitos anos. Porém deixou pele oleosa.;4.4
 La Roche-Posay  Anthelios AE- Pigmentation FPS50 - Protetor Solar Facial 40g ; La Roche-Posay ;Incrível.;4.4
 La Roche-Posay  Anthelios AE- Pigmentation FPS50 - Protetor Solar Facial 40g ; La Roche-Posay ;Excelente protetor facial pena caro vem pouco produto!;4.4
