prod-descr;prod-;prod-comentario;prod-aval
L’ORÉAL PARIS Protetor Solar Facial UV Defender Fluido - FPS 60, com ativo hialurônico, protege a sua pele dos raios UV e reduz 7 anos de manchas solares, em 3 meses, é muito resistente ao suor, água e poluição, textura ultra-leve e acabamento invisível - 40g;L'Oréal;Gisele Lima Produto otimo      Produto bom, pele oleosa deu certo. Fazendo aparece algumas espinhas. textura ótima, seca rápido, cheiro forte fica resquício produto. Super recomendo. ;4.7
L’ORÉAL PARIS Protetor Solar Facial UV Defender Fluido - FPS 60, com ativo hialurônico, protege a sua pele dos raios UV e reduz 7 anos de manchas solares, em 3 meses, é muito resistente ao suor, água e poluição, textura ultra-leve e acabamento invisível - 40g;L'Oréal;jennyfer Protetor maravilhoso, cumpre promete      avaliar produtos, mereceu. protetor fluido, beeeeem leve, dá pra reparar tá facilimo passar. diferente daqueles protetores grossos deixam camada pesada rosto, sabe? Cumpre bem promessa pele mate, passei dia inteiro ele, suei cheguei noite, pele tava pouquinho brilho rosto, tipo glow saudável, compreensível pq suei pele oleosa. escorreu. outra coisa: muita sensibilidade olhos, fácil protetor irritar senti esse, justamente pegada leve, derreter rosto. bom, super compraria novo! 10 pessoas acharam útil ;4.7
L’ORÉAL PARIS Protetor Solar Facial UV Defender Fluido - FPS 60, com ativo hialurônico, protege a sua pele dos raios UV e reduz 7 anos de manchas solares, em 3 meses, é muito resistente ao suor, água e poluição, textura ultra-leve e acabamento invisível - 40g;L'Oréal;NAIARA Produto original      Entrega rápida, produto original, formulação fluída. Ideal tipo pele mista oleosa ;4.7
L’ORÉAL PARIS Protetor Solar Facial UV Defender Fluido - FPS 60, com ativo hialurônico, protege a sua pele dos raios UV e reduz 7 anos de manchas solares, em 3 meses, é muito resistente ao suor, água e poluição, textura ultra-leve e acabamento invisível - 40g;L'Oréal;Kamila Bugarin Cheiro suave textura fluida.      Aroma suave, fácil espalhar, textura bem fluida. recomendo peles secas pois acaba craquelando qualquer base adicione cima, vc usa maquiagem cima pele normal oleosa produto pode você. 1 pessoa achou útil ;4.7
L’ORÉAL PARIS Protetor Solar Facial UV Defender Fluido - FPS 60, com ativo hialurônico, protege a sua pele dos raios UV e reduz 7 anos de manchas solares, em 3 meses, é muito resistente ao suor, água e poluição, textura ultra-leve e acabamento invisível - 40g;L'Oréal;Napaula Cumpre promete!      Protetor leve bem líquido, ótimo espalhar bem rosto. Possui toque seco porém sinto resiste suor protetores outra marca. pele oleosa aderiu bem pele. modo geral recomendo curioso sobre protetor. Sobre questão manchas, preciso testar vezes. Obs: Deixa efeito glow bonito sobre pele. 6 pessoas acharam útil ;4.7
L’ORÉAL PARIS Protetor Solar Facial UV Defender Fluido - FPS 60, com ativo hialurônico, protege a sua pele dos raios UV e reduz 7 anos de manchas solares, em 3 meses, é muito resistente ao suor, água e poluição, textura ultra-leve e acabamento invisível - 40g;L'Oréal;Tainã Braghin Melhor protetor solar      nunca consegui usar protetor solar rosto, porque acho pele fica sebosa, porém conheci protetor, nunca fiquei sem. melhor protetor solar usei, parece gente passou nada pele tanto absorve. Recomendo demais! ;4.7
L’ORÉAL PARIS Protetor Solar Facial UV Defender Fluido - FPS 60, com ativo hialurônico, protege a sua pele dos raios UV e reduz 7 anos de manchas solares, em 3 meses, é muito resistente ao suor, água e poluição, textura ultra-leve e acabamento invisível - 40g;L'Oréal;Gabriel Acabamento viçoso, toque seco.      Acabamento perfeito, deixa pele viçosa, brilha parecendo óleo. Bem fluído, ótimo pra espalhar, seca bem rápido (perfeito pra dias corridos), deixa cara pálida toda branca, fica invisível mesmo, ardeu olhos. Pra reaplicar, aplicando 7h30, reaplicando meio dia, achei adicionou brilho pesou. tempo, lá 18-19h dá pesada, passar mão vai sentir oleoso. Relativamente resistente água, acho dá pra usar piscina. relação toque, ideal evitar máximo ficar tocando rosto, pra remover proteção. Mas, importante pra você, seco, meio melado, transfere sensação pra mão. relação conforto, parece usando nada. favoritos, melhor alguns asiáticos. 39 pessoas acharam útil ;4.7
L’ORÉAL PARIS Protetor Solar Facial UV Defender Fluido - FPS 60, com ativo hialurônico, protege a sua pele dos raios UV e reduz 7 anos de manchas solares, em 3 meses, é muito resistente ao suor, água e poluição, textura ultra-leve e acabamento invisível - 40g;L'Oréal;Gabriel Acabamento viçoso, toque seco.      Acabamento perfeito, deixa pele viçosa, brilha parecendo óleo. Bem fluído, ótimo pra espalhar, seca bem rápido (perfeito pra dias corridos), deixa cara pálida toda branca, fica invisível mesmo, ardeu olhos. Pra reaplicar, aplicando 7h30, reaplicando meio dia, achei adicionou brilho pesou. tempo, lá 18-19h dá pesada, passar mão vai sentir oleoso. Relativamente resistente água, acho dá pra usar piscina. relação toque, ideal evitar máximo ficar tocando rosto, pra remover proteção. Mas, importante pra você, seco, meio melado, transfere sensação pra mão. relação conforto, parece usando nada. favoritos, melhor alguns asiáticos. 40 pessoas acharam útil ;4.7
L’ORÉAL PARIS Protetor Solar Facial UV Defender Fluido - FPS 60, com ativo hialurônico, protege a sua pele dos raios UV e reduz 7 anos de manchas solares, em 3 meses, é muito resistente ao suor, água e poluição, textura ultra-leve e acabamento invisível - 40g;L'Oréal;Suellen Carvalho Costa Ótimo produto!      Produto qualidade ótimo pele oleosa. ;4.7
Protetor Solar Corporal L'Oréal Paris Solar Expertise FPS 70 200ml - Previne o Envelhecimento Solar, Textura Ultra-leve, Hidrata e Protege a pele;L'Oréal;Rodolfo melhores senão melhor    Tamanho: 200 ml (Pacote 1)  produto protege bem, alta durabilidade bom perfume. ;4.8
Protetor Solar Corporal L'Oréal Paris Solar Expertise FPS 70 200ml - Previne o Envelhecimento Solar, Textura Ultra-leve, Hidrata e Protege a pele;L'Oréal;Cliente Kindle bom    Tamanho: 200 ml (Pacote 1)  Ótimo protetor solar, havia utilizado facial gostado bastante, excelente qualidade, além possuir cheiro bom. 1 pessoa achou útil ;4.8
Protetor Solar Corporal L'Oréal Paris Solar Expertise FPS 70 200ml - Previne o Envelhecimento Solar, Textura Ultra-leve, Hidrata e Protege a pele;L'Oréal;Joao Vitor Excelente produto    Tamanho: 200 ml (Pacote 1)  Recomendo ;4.8
Protetor Solar Corporal L'Oréal Paris Solar Expertise FPS 70 200ml - Previne o Envelhecimento Solar, Textura Ultra-leve, Hidrata e Protege a pele;L'Oréal;Alexsandra Melhor protetor pro corpo usei    Tamanho: 200 ml (Pacote 1)  cheiro enjoado protetor, espalha absorve bem, bem consistente, fica grudento. Importante pele absorver bem antes suar vestir roupa, derrete mancha. ;4.8
Protetor Solar Corporal L'Oréal Paris Solar Expertise FPS 70 200ml - Previne o Envelhecimento Solar, Textura Ultra-leve, Hidrata e Protege a pele;L'Oréal;Naiara Vieira Otimo protetor solar corporal    Tamanho: 200 ml (Pacote 1)  otimo produto, acabamento confortável facil espalhar. ;4.8
Protetor Solar Corporal L'Oréal Paris Solar Expertise FPS 70 200ml - Previne o Envelhecimento Solar, Textura Ultra-leve, Hidrata e Protege a pele;L'Oréal;Julianna Produto bom, vale cursto benefício   18 março 2024 Tamanho: 200 ml (Pacote 1)  protetor grande bom rendimento. Pouco produto suficiente cobrir área razoável. cheiro protetor solar, cheirinho bem suave erva cidreira achei bom. cheiro realmente suave, costumo gostar produtos odor, incomodou.Ele deixa aspecto pouco esbranguiçado assim espalhado, some tempo. tipo protetor gosto usar antes maquiagem, Renew sentia absorvição melhor aplicar produto cima, comprei Loreal ir praia usar dia dia acho vale pena. 1 pessoa achou útil ;4.8
Protetor Solar Corporal L'Oréal Paris Solar Expertise FPS 70 200ml - Previne o Envelhecimento Solar, Textura Ultra-leve, Hidrata e Protege a pele;L'Oréal;Marcos Andre Stangret OTIMO PRODUTO    Tamanho: 200 ml (Pacote 1)  fácil absorção, espalha fácil hidrata tempo ;4.8
Protetor Solar Corporal L'Oréal Paris Solar Expertise FPS 70 200ml - Previne o Envelhecimento Solar, Textura Ultra-leve, Hidrata e Protege a pele;L'Oréal;Thadila Coelho Superou expectativas.    Tamanho: 200 ml (Pacote 1)  particularmente amei protetor solar. cheiroso deixa pele super hidratada, aspecto oleosidade. quantidade, vai durar bastante pq rende muito. Comprem medo, pq vale pena. ;4.8
Creme Facial Revitalift Pro Retinol Cuidado Diurno FPS20 Antirrugas;L'Oréal Brasil;Creme Facial Revitalift Pro Retinol Cuidado Diurno FPS20 Antirrugas  5 dias aplicando Hidratante Revitalift Pro-Retinol Cuidado Diurno Antirrugas. apenas 2 dias uso, realizei compra Gel Limpeza mesma linha, tanto gostei hidratante! textura boa, denso (rende muitoooo), espalha bem rosto deixa pele mega hidratada, macia firme. pele bastante ressecada imediato senti diferença. cheirinho bom. embalagem chiquérrima, pote vidro tampa brilhoo (eu amei). cores utilizadas nessa linha passam ar sofisticação firmeza, realmente produto entrega. melhorar ainda mais, FPS 20, substitui uso protetor solar, baita diferencial produto. amando resultados. SUPER recomendo!! by: GABRIELA PONTES ANGELIS 2 pessoas acharam útil ;4.8
Creme Facial Revitalift Pro Retinol Cuidado Diurno FPS20 Antirrugas;L'Oréal Brasil;Creme Facial Revitalift Pro Retinol Cuidado Diurno FPS20 Antirrugas  adorando Revitalift Pro-Retinol Cuidado Diurno. usando diariamente semana notei diferença pele. Sinto pele hidratada, renovada, macia sedosa. textura leve, fácil espalhar, absorvido rapidamente aroma suave delicado. Após uso sensação pele hidratada macia. usado antes maquiagem gostando muito, porque base corretivo ficam aspecto bonito pele sendo usados após hidratante. Desde comprei, uso todos dias encaixou perfeitamente rotina skincare. Recomendo muito, produto ótima qualidade benefícios visíveis desde primeiro uso. ;4.8
Creme Facial Revitalift Pro Retinol Cuidado Diurno FPS20 Antirrugas;L'Oréal Brasil;Creme Facial Revitalift Pro Retinol Cuidado Diurno FPS20 Antirrugas  creme Hidratante Revitalift Pro-Retinol Cuidado Diurno Antirrugas bom! uso deste creme senti pele hidratada textura uniforme, hidratante trás pele viço bonito, pesar parecer pele oleosa, gostei cheiro super agradávelo creme mostrado eficaz manter pele bonita aparência saudável.O custo-benefício deste hidratante bom . principal segredo ativo dermatológico Pro-Retinol, reconhecido corrigir rugas, renovar pele uniformizar tom. hidratante fórmula criada laboratórios L’Oréal Paris validado dermatologistas, além poderoso ativo Pro-Retinol conta FPS 20, contribuindo ainda hidratação profunda pele combate sinais idade, tornando-se eficiente tratamento antissinais todo tipo pele.Eu uso recomendo. 1 pessoa achou útil ;4.8
Creme Facial Revitalift Pro Retinol Cuidado Diurno FPS20 Antirrugas;L'Oréal Brasil;Creme Facial Revitalift Pro Retinol Cuidado Diurno FPS20 Antirrugas  Hidratante Revitalift Pro-Retinol Cuidado Diurno Antirrugas Após 3 semanas uso notável sensação hidratação dura dia todo deixa sensação oleosidade dia quente. Entretanto, gosta pele sequinha, deve adaptar, produto deixe pele seca cima, pois serum matificante depois, prevalece textura hidratante. ponto atenção dinâmica demais produtos. pele madura, foco produto, demanda maquiagem dermocosméticos específicos e, neste quesito, notei boa aderência (craquelou base+protetor creme corretivos líquidos creme outras boas marcas). produtos específicos pó achei combinação interessante, ainda si nao favoráveis público alvo. notei uniformização tons (que maior expectativa) suavização rugas, ainda bem superficiais, então aposta hidratação, pesa outras marcas anti-idade. ;4.8
Creme Facial Revitalift Pro Retinol Cuidado Diurno FPS20 Antirrugas;L'Oréal Brasil;Creme Facial Revitalift Pro Retinol Cuidado Diurno FPS20 Antirrugas  Gente, preciso compartilhar experiência incrível Revitalift Hialurônico Diurno L’Oréal Paris! ? Desde comecei usar creme, pele nunca tão hidratada radiante. Primeiro, textura super leve absorve rapidinho, deixar sensação pegajosa. Perfeito usar antes maquiagem! ácido hialurônico puro, hidrata profundamente preenche linhas expressão. eu, tempo milhões passos skincare, produto pra também. Além disso, FPS 20, então protege pele danos sol enquanto cuida hidratação. tipo combo perfeito cuidados diários! usando duas semanas, notei pele firme glow saudável gente ama. Sério, . Tô apaixonada real. 3 pessoas acharam útil ;4.8
Creme Facial Revitalift Pro Retinol Cuidado Diurno FPS20 Antirrugas;L'Oréal Brasil;Creme Facial Revitalift Pro Retinol Cuidado Diurno FPS20 Antirrugas  Gente, preciso compartilhar experiência incrível Revitalift Hialurônico Diurno L’Oréal Paris! ? Desde comecei usar creme, pele nunca tão hidratada radiante. Primeiro, textura super leve absorve rapidinho, deixar sensação pegajosa. Perfeito usar antes maquiagem! ácido hialurônico puro, hidrata profundamente preenche linhas expressão. eu, tempo milhões passos skincare, produto pra também. Além disso, FPS 20, então protege pele danos sol enquanto cuida hidratação. tipo combo perfeito cuidados diários! usando duas semanas, notei pele firme glow saudável gente ama. Sério, . Tô apaixonada real. 4 pessoas acharam útil ;4.8
Creme Facial Revitalift Pro Retinol Cuidado Diurno FPS20 Antirrugas;L'Oréal Brasil;Creme Facial Revitalift Pro Retinol Cuidado Diurno FPS20 Antirrugas  Realmente, L'Oréal decepciona. receber produto achei pouca quantidade fiquei impactada quanto rende. Apenas pouquinho aplicado pontos estratégicos, compreende rosto todo assim pescoço. primeiros dias senti pele bem hidratada, após semana fiquei chocada viço pele. Realmente cumpre promete. Ansiosa pra testar demais produtos mesma linha adicionar rotina diária skincare. bastante ainda FPs potencializa filtro protetor solar. amei! fragrância gostosa leve, prefiro pois dou bem produtos cheiro. toque creme emoliente faz espalhar super fácil absorção quase imediata, vez logo seguida aplico maquiagem saiu linda bela. ponto parte embalagem chiquérrima, ar creme importado daqueles caros kkkk amei! Enfim, ansiosa pra testar demais produtos mesma linha lançamentos também!!!! Obs: pele mista/oleosa alguns pontos acne. Paloma S.Melo ;4.8
Creme Facial Revitalift Pro Retinol Cuidado Diurno FPS20 Antirrugas;L'Oréal Brasil;Creme Facial Revitalift Pro Retinol Cuidado Diurno FPS20 Antirrugas  Experimentei creme Hidratante Revitalift Pro-Retinol Cuidado Diurno Antirrugas satisfeito! deixou pele visivelmente hidratada textura uniforme. Além disso, percebi fórmula interfere outros produtos protetor solar diário maquiagem, evitando craquelamento. hidratante proporciona pele viço bonito, deixá-la pesada aspecto oleoso. experiência sensorial ótima, textura agradável cheiro agradável. Durante uso, pele ficou sensibilizada, creme sido eficaz manter aparência saudável dias frios. custo-benefício deste hidratante excelente. Recomendo produto ansioso experimentar outros produtos desta linha. 3 pessoas acharam útil ;4.8
Garnier Protetor Solar Hidratante Efeito Matte FPS50 Uniform & Matte, Antioleosidade com Vitamina C, 40g, Cor Clara;L'Oréal Brasil;Cristiane preferido    Cor: Clara  protetores cor gosto. mim funciona super bem, além sentir protegida gosto ameniza uniformiza bem pele. sinto usando base, maioria vezes dou selada pó p ficar aspecto oleoso. ;4.4
Garnier Protetor Solar Hidratante Efeito Matte FPS50 Uniform & Matte, Antioleosidade com Vitamina C, 40g, Cor Clara;L'Oréal Brasil;Jaíne Silva Bom produto    Cor: Média  protetor bom, fica bem sequinho pele, cheiro forte, arde olhos deu acne. Pena errei hora escolher cor kkkk achei tom médio daria certo pra pele (tenho pele morena clara), apliquei produto, cara ficou parecendo tijolo kkkk. jeito usá-lo misturando-o protetor branco, clarear pouco cor, ainda assim fica pouco escuro pro tom pele, usado casa. algumas pessoas apontaram, fundo bem alaranjado mesmo. pra pele subtom quente, ainda ficou pouco laranja. pessoas subtom frio neutro, creio interessante misturar base tom frio protetor, equilibrar tom. Além disso, protetor cobertura bem alta, praticamente base fator proteção solar protetor cor. gosta cobertura reboco, vai adorar protetor. gosto coisa leve, achei pouco pesado demais pra mim. Misturando protetor branco, ficou pouco melhor tom leve cobertura também, efeito natural. Ah, transfere pouco também. Sugiro utilizar fixador maquiagem cima selar pó. momento removê-lo, pouco difícil retirar pigmento laranja pele (se usá-lo puro. Misturado protetor cor, fica fácil). primeira experiência usando protetor cor (não costumo usar maquiagem). Honestamente, adaptei muito, prefiro incolores, motivo creio compraria produto novo (mas gostaria testar versão cor dele, existir). Enfim, pra encerrar, conselho dou comprá-lo, escolher tom claro tom pele (não confie fotos demonstrativas modelos, assim errei cor kk). Desta forma, acredito fácil acertar cor certa pra você. mais, produto agradou características citadas início comentário custo-benefício. Ler 137 pessoas acharam útil ;4.4
Garnier Protetor Solar Hidratante Efeito Matte FPS50 Uniform & Matte, Antioleosidade com Vitamina C, 40g, Cor Clara;L'Oréal Brasil;Dalila Protetor hidratação    Cor: Morena  Excelente, cobertura perfeita, precisa base, recomendo. ;4.4
Garnier Protetor Solar Hidratante Efeito Matte FPS50 Uniform & Matte, Antioleosidade com Vitamina C, 40g, Cor Clara;L'Oréal Brasil;"Bianca Bom barato    Cor: Clara  preço, protetor solar vale super pena. versão cor cobertura razoável, suficiente pra dia-a-dia. Embora deixe aspecto ""matte"" pele, acho pouco oleoso meio fim, fica pouco grosso aplicação fica pouco complicada. 1 pessoa achou útil ";4.4
Garnier Protetor Solar Hidratante Efeito Matte FPS50 Uniform & Matte, Antioleosidade com Vitamina C, 40g, Cor Clara;L'Oréal Brasil;Jaíne Silva Bom produto    Cor: Média  protetor bom, fica bem sequinho pele, cheiro forte, arde olhos deu acne. Pena errei hora escolher cor kkkk achei tom médio daria certo pra pele (tenho pele morena clara), apliquei produto, cara ficou parecendo tijolo kkkk. jeito usá-lo misturando-o protetor branco, clarear pouco cor, ainda assim fica pouco escuro pro tom pele, usado casa. algumas pessoas apontaram, fundo bem alaranjado mesmo. pra pele subtom quente, ainda ficou pouco laranja. pessoas subtom frio neutro, creio interessante misturar base tom frio protetor, equilibrar tom. Além disso, protetor cobertura bem alta, praticamente base fator proteção solar protetor cor. gosta cobertura reboco, vai adorar protetor. gosto coisa leve, achei pouco pesado demais pra mim. Misturando protetor branco, ficou pouco melhor tom leve cobertura também, efeito natural. Ah, transfere pouco também. Sugiro utilizar fixador maquiagem cima selar pó. momento removê-lo, pouco difícil retirar pigmento laranja pele (se usá-lo puro. Misturado protetor cor, fica fácil). primeira experiência usando protetor cor (não costumo usar maquiagem). Honestamente, adaptei muito, prefiro incolores, motivo creio compraria produto novo (mas gostaria testar versão cor dele, existir). Enfim, pra encerrar, conselho dou comprá-lo, escolher tom claro tom pele (não confie fotos demonstrativas modelos, assim errei cor kk). Desta forma, acredito fácil acertar cor certa pra você. mais, produto agradou características citadas início comentário custo-benefício. Ler 135 pessoas acharam útil ;4.4
Garnier Protetor Solar Hidratante Efeito Matte FPS50 Uniform & Matte, Antioleosidade com Vitamina C, 40g, Cor Clara;L'Oréal Brasil;Leidiane Ribeiro Santos Marques Bom   12 março 2024 Cor: Média  Infelizmente conseguir usar cor, pois laranja textura grossa, espalhar bem uniformiza bem pele realmente fica matte. 2 pessoas acharam útil ;4.4
Garnier Protetor Solar Hidratante Efeito Matte FPS50 Uniform & Matte, Antioleosidade com Vitamina C, 40g, Cor Clara;L'Oréal Brasil;David William Costa Ótimo protetor solar    Cor: Média  Ótimo protetor solar, duração ótima qualidade base, cobre bem cor exata pele. 1 pessoa achou útil ;4.4
Garnier Protetor Solar Hidratante Efeito Matte FPS50 Uniform & Matte, Antioleosidade com Vitamina C, 40g, Cor Clara;L'Oréal Brasil;Patricia V. Bom custo benefício    Cor: Média  Bom produto. Espalha fácil. deixa pele oleosa (fica bem sequinho). Requer atenção especial usado prática exercícios físicos, pois parece durar pele (talvez conta transpiração), requerendo reaplicação maior constância. 2 pessoas acharam útil ;4.4
Garnier Protetor Solar Hidratante Efeito Matte FPS50 Uniform & Matte, Antioleosidade com Vitamina C, 40g, Cor Clara;L'Oréal Brasil;Rayana Medeiros Goes Lucas Cumpre promete    Cor: Clara  produto bom. Fornece cobertura base, parece tratar pele q fica sedosa fato uso contínuo. proteção solar excelente retoques, segura beeem. acabamento tão matte indicado, porém satisfatório. comedogênico causa espinhas efeito rebote peles oleosas. único ponto negativo longo dia pode concentrar algumas partes rosto sair outras, além transferir, nada retoque uso pó compacto associado resolva. Ainda assim vale mega excelente custo benefício relação demais mercado. 13 pessoas acharam útil ;4.4
Garnier Protetor Solar Hidratante Efeito Matte FPS50 Uniform & Matte, Antioleosidade com Vitamina C, 40g, Cor Clara;L'Oréal Brasil;Gabrielle Ótima pigmentação    Cor: Clara  Protetor além proteção apresenta alta cobertura, bem sequinho cheiro. ;4.4
Garnier Protetor Solar Hidratante Efeito Matte FPS50 Uniform & Matte, Antioleosidade com Vitamina C, 40g, Cor Clara;L'Oréal Brasil;Jaíne Silva Bom produto    Cor: Média  protetor bom, fica bem sequinho pele, cheiro forte, arde olhos deu acne. Pena errei hora escolher cor kkkk achei tom médio daria certo pra pele (tenho pele morena clara), apliquei produto, cara ficou parecendo tijolo kkkk. jeito usá-lo misturando-o protetor branco, clarear pouco cor, ainda assim fica pouco escuro pro tom pele, usado casa. algumas pessoas apontaram, fundo bem alaranjado mesmo. pra pele subtom quente, ainda ficou pouco laranja. pessoas subtom frio neutro, creio interessante misturar base tom frio protetor, equilibrar tom. Além disso, protetor cobertura bem alta, praticamente base fator proteção solar protetor cor. gosta cobertura reboco, vai adorar protetor. gosto coisa leve, achei pouco pesado demais pra mim. Misturando protetor branco, ficou pouco melhor tom leve cobertura também, efeito natural. Ah, transfere pouco também. Sugiro utilizar fixador maquiagem cima selar pó. momento removê-lo, pouco difícil retirar pigmento laranja pele (se usá-lo puro. Misturado protetor cor, fica fácil). primeira experiência usando protetor cor (não costumo usar maquiagem). Honestamente, adaptei muito, prefiro incolores, motivo creio compraria produto novo (mas gostaria testar versão cor dele, existir). Enfim, pra encerrar, conselho dou comprá-lo, escolher tom claro tom pele (não confie fotos demonstrativas modelos, assim errei cor kk). Desta forma, acredito fácil acertar cor certa pra você. mais, produto agradou características citadas início comentário custo-benefício. Ler 138 pessoas acharam útil ;4.4
Garnier Protetor Solar Hidratante Efeito Matte FPS50 Uniform & Matte, Antioleosidade com Vitamina C, 40g, Cor Clara;L'Oréal Brasil;Rayana Medeiros Goes Lucas Cumpre promete    Cor: Clara  produto bom. Fornece cobertura base, parece tratar pele q fica sedosa fato uso contínuo. proteção solar excelente retoques, segura beeem. acabamento tão matte indicado, porém satisfatório. comedogênico causa espinhas efeito rebote peles oleosas. único ponto negativo longo dia pode concentrar algumas partes rosto sair outras, além transferir, nada retoque uso pó compacto associado resolva. Ainda assim vale mega excelente custo benefício relação demais mercado. 14 pessoas acharam útil ;4.4
Garnier Protetor Solar Hidratante Efeito Matte FPS50 Uniform & Matte, Antioleosidade com Vitamina C, 40g, Cor Clara;L'Oréal Brasil;tanquinho lindo , chegou bem antes prazo amei ???? Cumpre oque promete ??    Cor: Média  Maravilhoso,cumpre oque promete , mate sequinho ??????? ;4.4
Garnier Protetor Solar Hidratante Efeito Matte FPS50 Uniform & Matte, Antioleosidade com Vitamina C, 40g, Cor Clara;L'Oréal Brasil;David William Costa Ótimo protetor solar    Cor: Média  Ótimo protetor solar, duração ótima qualidade base, cobre bem cor exata pele. 2 pessoas acharam útil ;4.4
Garnier Protetor Solar Hidratante Efeito Matte FPS50 Uniform & Matte, Antioleosidade com Vitamina C, 40g, Cor Clara;L'Oréal Brasil;Jaíne Silva Bom produto    Cor: Média  protetor bom, fica bem sequinho pele, cheiro forte, arde olhos deu acne. Pena errei hora escolher cor kkkk achei tom médio daria certo pra pele (tenho pele morena clara), apliquei produto, cara ficou parecendo tijolo kkkk. jeito usá-lo misturando-o protetor branco, clarear pouco cor, ainda assim fica pouco escuro pro tom pele, usado casa. algumas pessoas apontaram, fundo bem alaranjado mesmo. pra pele subtom quente, ainda ficou pouco laranja. pessoas subtom frio neutro, creio interessante misturar base tom frio protetor, equilibrar tom. Além disso, protetor cobertura bem alta, praticamente base fator proteção solar protetor cor. gosta cobertura reboco, vai adorar protetor. gosto coisa leve, achei pouco pesado demais pra mim. Misturando protetor branco, ficou pouco melhor tom leve cobertura também, efeito natural. Ah, transfere pouco também. Sugiro utilizar fixador maquiagem cima selar pó. momento removê-lo, pouco difícil retirar pigmento laranja pele (se usá-lo puro. Misturado protetor cor, fica fácil). primeira experiência usando protetor cor (não costumo usar maquiagem). Honestamente, adaptei muito, prefiro incolores, motivo creio compraria produto novo (mas gostaria testar versão cor dele, existir). Enfim, pra encerrar, conselho dou comprá-lo, escolher tom claro tom pele (não confie fotos demonstrativas modelos, assim errei cor kk). Desta forma, acredito fácil acertar cor certa pra você. mais, produto agradou características citadas início comentário custo-benefício. Ler 136 pessoas acharam útil ;4.4
Garnier Protetor Solar Hidratante Efeito Matte FPS50 Uniform & Matte, Antioleosidade com Vitamina C, 40g, Cor Clara;L'Oréal Brasil;Andrea Silva Skin care    Cor: Média  Produto prático textura boa pois base protetor. ;4.4
Garnier Protetor Solar Hidratante Efeito Matte FPS50 Uniform & Matte, Antioleosidade com Vitamina C, 40g, Cor Clara;L'Oréal Brasil;Emilly Surpreendeu    Cor: Clara  Entregou tudo hahah! produto bom. amante protetor solar cosméticos geral, testei alguns certeza entrou favoritos. Consistência perfeita, deixa protegida sequinha, além boa fragrância. Recomendo. 1 pessoa achou útil ;4.4
Gel de Limpeza Facial Suavizante Revitalift Retinol 150g;L'Oréal Brasil;Julia Kira Sobre melhor gel limpeza testei      Gel Limpeza Suavizante Revitalift Pro-Retinol L’Oréal Paris simplesmente incrível! Desenvolvido laboratórios marca validado dermatologistas, renova textura pele jeito super eficaz. limpa profundamente, uniformiza textura elimina todas impurezas, melhor tudo: ressecar rosto. gosto serve todos tipos pele, inclusive mistas oleosas. Então, importa tipo pele, gel limpeza vai adaptar perfeitamente. uso regular, dá sentir pele suave, uniforme revitalizada. Realmente produto qualidade faz jus fama L’Oréal Paris! primeiro uso senti super diferença textura pele, deixando super macia, cheirinho maravilhoso! gel Limpeza Suavizante Revitalift Pro-Retinol L’Oréal Paris ganhou lugar garantido rotina skin care! 2 pessoas acharam útil ;4.8
Gel de Limpeza Facial Suavizante Revitalift Retinol 150g;L'Oréal Brasil;Mariana Vaz Mello bom! Recomendo      Gel Limpeza Suavizante cumpre promete: limpa ressecar melhora textura pele. produto faz limpeza gentil pele sensorial gostoso, rende bem, sendo necessário pouco produto fazer boa limpeza todo rosto. fragrância suave, delicada cheirosa, causando nenhum incômodo neste sentido. Durante primeiros dias uso senti pele ficou ressecada, dias frios, textura pele todo ficou uniforme. gel limpeza suavizante custo benefício ótimo fez pele produto caro fez. experiência positiva pretendo experimentar outros produtos desta linha. 4 pessoas acharam útil ;4.8
Gel de Limpeza Facial Suavizante Revitalift Retinol 150g;L'Oréal Brasil;Juliane Leve refrescante      Utilizar gel limpeza facial Revitalift L'Oréal Paris experiência refrescante eficaz. textura suave aroma agradável tornaram limpeza diária experiência relaxante. pele ficou visivelmente limpa revitalizada após uso, ressecamento. sensação frescor leveza gel proporcionaram rotina cuidados simples agradável. ;4.8
Gel de Limpeza Facial Suavizante Revitalift Retinol 150g;L'Oréal Brasil;Juliana Rodrigues Ótimo custo benefício      Gel limpeza suavizante revitalift pro-retinol L’Oreal Paris surpresa positiva prática rotina skincare. embalagem segura tamanho ideal, vai bolsa necessaire risco abrir vazar. textura única, aplicar pele rosto, consegue limpar forma suave, deixar pele ressecada sensação esticando tudo. falar fragrância, delicada agradável. espuma leve, fácil enxaguar, gruda pele, Após lavar rosto gel limpeza suavizante revotalift pro-retinol L’Oreal Paris, percebo remoção impurezas brilho saudável pele. 8 pessoas acharam útil ;4.8
